URL,ID,Website,Images_IA
https://www.prlib.ru/item/416448,Istoricheskajapanoramadrevnegoinovogomir78,215,215
https://www.prlib.ru/item/681306,Istoricheskajazapiskaoplavaniirossijskih6,16,16
https://www.prlib.ru/item/706842,Istoricheskieaforizmy64,136,136
https://www.prlib.ru/item/334952,Istoricheskiechtenijaojazykeislovesnosti20,298,298
https://www.prlib.ru/item/416501,IstoricheskieetjudyozhenschineIZhensch72,124,124
https://www.prlib.ru/item/416494,Istoricheskieocherkitsarstvovanijaimpera38,121,121
https://www.prlib.ru/item/713731,IstoricheskiesvedenijaoBolshomUspenskom84,51,51
https://www.prlib.ru/item/723826,Istoricheskiesvedenijaobarheologicheskih0,66,66
https://www.prlib.ru/item/714791,IstoricheskiezapiskiadjunktaKrylova13,36,36
https://www.prlib.ru/item/713438,Istoricheskijadokazatelstvabozhestvenno19,44,44
https://www.prlib.ru/item/1707680,Istoricheskijaitopograficheskijaizvestij44,98,98
https://www.prlib.ru/item/416591,IstoricheskijpamjatniksostojanijaArmjans92,554,554
https://www.prlib.ru/item/416611,Istoricheskoeizlozhenierusskogozakonodat44,97,97
https://www.prlib.ru/item/335074,Istoricheskoeizvestieojavlennojchudotvor55,15,15
https://www.prlib.ru/item/335073,IstoricheskoeizvestieoprebyvaniivMoskvef1,72,72
https://www.prlib.ru/item/416608,Istoricheskoeizvestieovsehsobornyhmonast61,274,274
https://www.prlib.ru/item/416609,IstoricheskoeizvestieozhizniidejanijahDi77,27,27
https://www.prlib.ru/item/335077,IstoricheskoeobozrenieRjazanskojgubernii53,440,440
https://www.prlib.ru/item/1111738,Istoricheskoeobozrenieojratovilikalmykov79,280,280
https://www.prlib.ru/item/416678,Istoricheskoeopisanieproisshestvijoubien20,53,53
https://www.prlib.ru/item/335096,Istoricheskoeopisanierossijskojkommertsi0,417,417
https://www.prlib.ru/item/335104,Istoricheskoeopisanierossijskojkommertsi1,802,802
https://www.prlib.ru/item/335105,Istoricheskoeopisanierossijskojkommertsi12,839,839
https://www.prlib.ru/item/335107,Istoricheskoeopisanierossijskojkommertsi13,680,680
https://www.prlib.ru/item/335098,Istoricheskoeopisanierossijskojkommertsi16,684,684
https://www.prlib.ru/item/335099,Istoricheskoeopisanierossijskojkommertsi18,744,744
https://www.prlib.ru/item/335095,Istoricheskoeopisanierossijskojkommertsi25,299,299
https://www.prlib.ru/item/335092,Istoricheskoeopisanierossijskojkommertsi3,504,504
https://www.prlib.ru/item/335094,Istoricheskoeopisanierossijskojkommertsi37,624,624
https://www.prlib.ru/item/335101,Istoricheskoeopisanierossijskojkommertsi52,680,680
https://www.prlib.ru/item/335100,Istoricheskoeopisanierossijskojkommertsi59,846,846
https://www.prlib.ru/item/335103,Istoricheskoeopisanierossijskojkommertsi66,903,903
https://www.prlib.ru/item/335102,Istoricheskoeopisanierossijskojkommertsi67,717,717
https://www.prlib.ru/item/335097,Istoricheskoeopisanierossijskojkommertsi70,644,644
https://www.prlib.ru/item/335108,Istoricheskoeopisanierossijskojkommertsi77,711,711
https://www.prlib.ru/item/335106,Istoricheskoeopisanierossijskojkommertsi92,584,584
https://www.prlib.ru/item/335109,Istoricheskoeopisanierossijskojkommertsi98,631,631
https://www.prlib.ru/item/335113,IstoricheskoeopisaniesvjatyniNovgorodsko40,41,41
