year,title,link,DONE
1803,"Подробности трех воздушных путешествий, предпринятых г. Гарнереном в России, в Санкт-Петербурге первое июня 20-го; второе июля 18-го; в Москве третие сентября 20-го; 1803",https://www.prlib.ru/item/1333247,1
1803,Список находящихся в Комиссии о Составлении Законов Российской Империи чиновников и служителей,https://www.prlib.ru/item/451193,1
1803,Полное собрание сочинений Михайла Васильевича Ломоносова. Ч. 1,https://www.prlib.ru/item/1307982,1
1803,"Новый словотолкователь, расположенный по алфавиту, содержащий: разныя в российском языке встречающияся иностранныя речения и техническия термины ... напечатанный по Высочайшему Его Императорскаго Величества повелению. Ч. 1. [От А до I]",https://www.prlib.ru/item/351704,0
1803,"Словарь, содержащий самые употребительнейшие и нужнейшие слова из общей жизни в пользу нижних французских и немецких классов",https://www.prlib.ru/item/469057,0
1803,"Устав купеческаго водоходства по рекам, водам и морям",https://www.prlib.ru/item/1339635,0
1803,Регламент Императорской Академии наук,https://www.prlib.ru/item/687744,1
1803,"Добродетельная жена, или Распутный, любовию исправленный. Ч. 1",https://www.prlib.ru/item/1327138,1
1803,"Costume of the Russian Empire, illustrated by upwards of seventy richly coloured engravings",https://www.prlib.ru/item/1501466,1
1804,"Уложение по которому суд и росправа во всяких делах в Российском государстве производится, сочиненное и напечатанное при владении его величества государя царя и великаго князя Алексея Михайловича всея России самодержца, в лето от сотворения мира 7156",https://www.prlib.ru/item/679945,0
1804,"Географический словарь Российскаго государства, сочиненный в настоящем онаго виде. Ч. 2. Г-К",https://www.prlib.ru/item/1892355,1
1804,Отчет министра внутренних дел за 1803 год.,https://www.prlib.ru/item/435431,1
1804,"Mahlerische Darstellungen der Sitten, Gebräuche und Lustbarkeiten bey den Russischen, Tatarischen, Mongolischen und andern Völkern des Russischen Reichs. Heft 4. Nebst einer kurzen Erläuterung derselben von J. Richter, Russ. Kaiserl. Rath und Fürstl. Sächs. Hofrath",https://www.prlib.ru/item/1346695,1
1804,Указатель дорог Российской империи. Ч. 2,https://www.prlib.ru/item/459676,1
1804,"Mahlerische Darstellungen der Sitten, Gebräuche und Lustbarkeiten bey den Russischen, Tatarischen, Mongolischen und andern Völkern des Russischen Reichs. Heft 2. Nebst einer kurzen Erläuterung derselben von Friedrich Hempel Rechtskonsulent",https://www.prlib.ru/item/1346691,0
1804,"Руководство к чистописанию, для юношества в народных училищах Российский империи",https://www.prlib.ru/item/362359,0
1804,"Духовный регламент, тщанием и повелением всепресветлейшаго, державнейшаго государя Петра Перваго, императора и самодержца всероссийскаго, по соизволению и приговору всероссийскаго духовнаго чина и Правительствующаго Сената, в царствующем Санктпетербурге, в лето от Рождества Христова 1721, сочиненный, гражданским первым тиснением изданный",https://www.prlib.ru/item/408162,0
1804,Указатель дорог Российской империи. Ч. 1,https://www.prlib.ru/item/459675,1
1804,Полное собрание сочинений Михайла Васильевича Ломоносова. Ч. 6,https://www.prlib.ru/item/1307986,1
1804,Путешествие к Липецким минеральным водам в 1803 году,https://www.prlib.ru/item/441229,0
1804,"Разсуждение о начале, важности и знаменовании церковных облачений, читанное 1803 года сентября 29 дня в публичном собрании Санктпетербургской Александроневской академии кандидатом богословии Константином Китовичем, при отправлении его в Белорускую семинарию, из коей он был прислан для образования к учительной должности",https://www.prlib.ru/item/441763,0
1804,"Разсуждение о книге, именуемой Православное исповедание веры соборныя и апостольския церкве восточныя, сочиненной киевским митрополитом Петром Могилою",https://www.prlib.ru/item/441762,0
1804,Полное собрание сочинений Михайла Васильевича Ломоносова. Ч. 5,https://www.prlib.ru/item/1308005,1
1804,"Лучь благодати, или Писания Н. А. К.",https://www.prlib.ru/item/714262,0
1804,"Городовое положение,",https://www.prlib.ru/item/713545,0
1804,"Бумаги, касающиеся областного управления с представления Малороссийского генерал-губернатора кн. П. В. Лопухину",https://www.prlib.ru/item/399544,0
1804,"Mahlerische Darstellungen der Sitten, Gebräuche und Lustbarkeiten bey den Russischen, Tatarischen, Mongolischen und andern Völkern des Russischen Reichs. [Heft 1]. Nebst einer kurzen Erläuterung derselben von Friedrich Hempel Rechtskonsulent",https://www.prlib.ru/item/1346689,0
1804,"Географический словарь Российскаго государства,. Ч.2: Г-К",https://www.prlib.ru/item/406196,0
1804,"Географический словарь Российскаго государства, сочиненный в настоящем онаго виде. Ч. 3. К-М",https://www.prlib.ru/item/1892357,1
1804,"Новый словотолкователь, расположенный по алфавиту, содержащий: разныя в российском языке встречающияся иностранныя речения и техническия термины ... напечатанный по Высочайшему Его Императорскаго Величества повелению. Ч. 2. [От К до Н]",https://www.prlib.ru/item/351705,0
