title,url
Атлас карт и планов к III тому перевода. – Б.г. ,http://elib.shpl.ru/ru/nodes/95041-atlas-kart-i-planov-k-iii-tomu-perevoda-locale-nil-b-g
"Атлас карт к Военному обозрению Финляндского военного округа. – Гельсингфорс, 1901.",http://elib.shpl.ru/ru/nodes/101435-atlas-kart-k-voennomu-obozreniyu-finlyandskogo-voennogo-okruga-locale-nil-gelsingfors-1901
"Атлас Российской империи, изданный для употребления юношества в 1794 [году] в Санктпетербурге. - [СПб., 1794].",http://elib.shpl.ru/ru/nodes/14502-atlas-rossiyskoy-imperii-izdannyy-dlya-upotrebleniya-yunoshestva-v-1794-godu-v-sanktpeterburge-spb-1794
Атлас сражений 1861-1865 гг. в Северной Америке,http://elib.shpl.ru/ru/nodes/55664-atlas-srazheniy-1861-1865-gg-v-severnoy-amerike
Атлас сражений 1866 г. в Австрии №8,http://elib.shpl.ru/ru/nodes/55640-atlas-srazheniy-1866-g-v-avstrii-locale-nil-8
Аттика и соседние с ней области средней Греции и Пелопоннеса,http://elib.shpl.ru/ru/nodes/89957-attika-i-sosednie-s-ney-oblasti-sredney-gretsii-i-peloponnesa
Афганистан,http://elib.shpl.ru/ru/nodes/12483-afganistan
Афганистан [1929 год],http://elib.shpl.ru/ru/nodes/97046-afganistan-1929-god
Ахматская волость. Камышин,http://elib.shpl.ru/ru/nodes/59630-ahmatskaya-volost-kamyshin
Ахтырка Харьковского Наместничества,http://elib.shpl.ru/ru/nodes/946-ahtyrka-harkovskogo-namestnichestva
Бабинович Могилёвского Наместничества,http://elib.shpl.ru/ru/nodes/659-babinovich-mogilyovskogo-namestnichestva
Багдад,http://elib.shpl.ru/ru/nodes/2956-bagdad
Бакинский рейд,http://elib.shpl.ru/ru/nodes/56572-bakinskiy-reyd
Балахна Нижегородского Наместничества,http://elib.shpl.ru/ru/nodes/673-balahna-nizhegorodskogo-namestnichestva
Балашов Саратовской губернии,http://elib.shpl.ru/ru/nodes/775-balashov-saratovskoy-gubernii
Балканские горы и два рукава прежде протекавшей реки Аму-Дарьи,http://elib.shpl.ru/ru/nodes/12500-balkanskie-gory-i-dva-rukava-prezhde-protekavshey-reki-amu-dari
Балканский полуостров,http://elib.shpl.ru/ru/nodes/72973-balkanskiy-poluostrov
Балтийское море с заливами,http://elib.shpl.ru/ru/nodes/10462-baltiyskoe-more-s-zalivami
Бахмут Екатеринославской губернии,http://elib.shpl.ru/ru/nodes/1055-bahmut-ekaterinoslavskoy-gubernii
Бахмут Екатеринославской губернии,http://elib.shpl.ru/ru/nodes/1056-bahmut-ekaterinoslavskoy-gubernii
Бег к морю и переход к позиционной войне 20 сентября - 10 ноября 1914 г.,http://elib.shpl.ru/ru/nodes/92603-beg-k-moryu-i-perehod-k-pozitsionnoy-voyne-20-sentyabrya-10-noyabrya-1914-g
Бежецк Тверской губернии,http://elib.shpl.ru/ru/nodes/882-bezhetsk-tverskoy-gubernii
Белгород Курского Наместничества,http://elib.shpl.ru/ru/nodes/644-belgorod-kurskogo-namestnichestva
Белев Тульского Наместничества,http://elib.shpl.ru/ru/nodes/914-belev-tulskogo-namestnichestva
Белица Могилёвского Наместничества,http://elib.shpl.ru/ru/nodes/660-belitsa-mogilyovskogo-namestnichestva
Беловодск Воронежского Наместничества,http://elib.shpl.ru/ru/nodes/495-belovodsk-voronezhskogo-namestnichestva
Белозёрск Новгородского Наместничества,http://elib.shpl.ru/ru/nodes/686-belozyorsk-novgorodskogo-namestnichestva
Белополье Харьковского Наместничества,http://elib.shpl.ru/ru/nodes/950-belopolie-harkovskogo-namestnichestva
Белый Смоленского Наместничества,http://elib.shpl.ru/ru/nodes/799-belyy-smolenskogo-namestnichestva
Бельгия и сопредельные страны,http://elib.shpl.ru/ru/nodes/57481-belgiya-i-sopredelnye-strany
Бердичев Волынской губернии,http://elib.shpl.ru/ru/nodes/490-berdichev-volynskoy-gubernii
Березна Черниговской губернии,http://elib.shpl.ru/ru/nodes/1015-berezna-chernigovskoy-gubernii
Берингов пролив,http://elib.shpl.ru/ru/nodes/53660-beringov-proliv
"Бескровный Л. Г. Атлас карт и схем по русской военной истории. - М., 1946.",http://elib.shpl.ru/ru/nodes/1705-beskrovnyy-l-g-atlas-kart-i-shem-po-russkoy-voennoy-istorii-m-1946
Блокада Плевны. Прорыв Османа-паши.,http://elib.shpl.ru/ru/nodes/75854-blokada-plevny-proryv-osmana-pashi
Бобров Воронежского Наместничества,http://elib.shpl.ru/ru/nodes/493-bobrov-voronezhskogo-namestnichestva
Богатый Курского Наместничества,http://elib.shpl.ru/ru/nodes/643-bogatyy-kurskogo-namestnichestva
Богодухов Слободско-украинской губернии,http://elib.shpl.ru/ru/nodes/947-bogoduhov-slobodsko-ukrainskoy-gubernii
Богодухов Слободско-украинской губернии,http://elib.shpl.ru/ru/nodes/948-bogoduhov-slobodsko-ukrainskoy-gubernii
Богородицк Тульского Наместничества,http://elib.shpl.ru/ru/nodes/912-bogoroditsk-tulskogo-namestnichestva
Богородск Московского Наместничества,http://elib.shpl.ru/ru/nodes/241-bogorodsk-moskovskogo-namestnichestva
Богучар Воронежского Наместничества,http://elib.shpl.ru/ru/nodes/494-boguchar-voronezhskogo-namestnichestva
Боевой путь 45-й дивизии на деникинском фронте,http://elib.shpl.ru/ru/nodes/58554-boevoy-put-45-y-divizii-na-denikinskom-fronte
Боевой путь 45-й Краснознаменной Волынской дивизии 1919-1920,http://elib.shpl.ru/ru/nodes/52060-boevoy-put-45-y-krasnoznamennoy-volynskoy-divizii-1919-1920
Боевой путь 8-го стрелкового полка,http://elib.shpl.ru/ru/nodes/34975-boevoy-put-8-go-strelkovogo-polka
