year,title,link
1871,"Вологодские губернские ведомости. 1871, № 2 [6 янв.]",https://www.prlib.ru/item/326586
1871,Доклады Тульской губернской земской управы ... Губернскому земскому собранию. экстра-ординарному ...,https://www.prlib.ru/item/715147
1871,Отчет Московского отделения Императорского Русского музыкального общества .... за 1869-70 год,https://www.prlib.ru/item/713303
1871,"Сборник постановлений, относящихся до введения мировых судебных установлений в 9-ти западных губерниях и определяющих порядок производства дел прежних судебных установлений в тех местностях",https://www.prlib.ru/item/443046
1871,Доклады Тульской губернской земской управы ... Губернскому земскому собранию. седьмому очередному ... [1871 года. Кн. 3],https://www.prlib.ru/item/711139
1871,"Юридический вестник. Г. 3 1871, кн. 3 (июнь)",https://www.prlib.ru/item/391866
1871,История царствования императора Александра I и России в его время. Т. 6,https://www.prlib.ru/item/417027
1871,"Иркутские губернские ведомости. 1875, № 2",https://www.prlib.ru/item/413938
1871,Семья и школа. [Г. 1]. 1871. [Т. 1]. № 2. Февраль,https://www.prlib.ru/item/443977
1871,О подушных податях,https://www.prlib.ru/item/431756
1871,"Постановления Прилукского уездного земского собрания .... экстренного ... 14-го ноября 1871 года и записка по предмету сельских народных училищ Прилукского уезда, читанная гласным Галаганом. экстренного ... 14-го ноября 1871 года и записка по предмету сельских народных училищ Прилукского уезда, читанная гласным Галаганом",https://www.prlib.ru/item/438613
1871,"Сборник Отделения русского языка и словесности Императорской Академии наук. Т. 8, [№ 1-5]",https://www.prlib.ru/item/363828
1871,"Вестник Европы. Г. 6 1871, [т. 4], кн. 8, август",https://www.prlib.ru/item/323717
1871,"Вестник Европы. Г. 6 1871, [т. 1], кн. 2, февраль",https://www.prlib.ru/item/323714
1871,Война с Турцией и разрыв с западными державами в 1853 и 1854 годах,https://www.prlib.ru/item/403450
1871,"Вестник Европы. Г. 6 1871, [т. 3], кн. 6, июнь",https://www.prlib.ru/item/323716
1871,О договоре поклажи между частными лицами или отдаче и приеме на сохранение движимого имущества,https://www.prlib.ru/item/429754
1871,"Древняя русская история до монгольского ига. Т. 3, отд. 2. Таблицы, указатели",https://www.prlib.ru/item/733108
1871,"Юридический вестник. Г. 3 1871, кн. 8 (ноябрь)",https://www.prlib.ru/item/391871
1871,"Иркутские губернские ведомости. 1875, № 22",https://www.prlib.ru/item/413941
1871,Семья и школа. [Г. 1]. 1871. № 4. Апрель,https://www.prlib.ru/item/443982
1871,"Правила приема в военные училища и программы учебных предметов, составленные сообразно с требованиями при вступительном экзамене в эти заведения на 1872 год",https://www.prlib.ru/item/438804
1871,"Акты, издаваемые Комиссиею, высочайше учрежденною для разбора древних актов в Вильне. Т. 5. Акты Брестского и Гродненского гродских судов, с присовокуплением привилегий на землевладение в Брестской и Кобринской экономиях",https://www.prlib.ru/item/396838
1871,"Русский вестник. Т. 95, [сентябрь]",https://www.prlib.ru/item/363077
1871,"Иркутские губернские ведомости. 1871, № 26",https://www.prlib.ru/item/416199
1871,Военно-уголовное право. Ч. 1. Отдел общих и военно-уголовных законов,https://www.prlib.ru/item/403355
1871,"Вологодские губернские ведомости. 1871, № 47 [13 нояб.]",https://www.prlib.ru/item/326616
1871,Семья и школа. [Г. 1]. 1871. [Т. 2]. № 7. Сентябрь,https://www.prlib.ru/item/443978
1871,Правила для приема в юнкерские и урядничьи училища,https://www.prlib.ru/item/712066
1871,Характеристика графа Бисмарка и его политическая деятельность,https://www.prlib.ru/item/1968589
1871,Искусство в связи с общим развитием культуры и идеалы человечества. Т. 2. Эллада и Рим,https://www.prlib.ru/item/1734086
1871,Покорение Казани Русской державе и христианству,https://www.prlib.ru/item/437810
1871,Архив князя Воронцова. Кн. 2. Бумаги графа Михайла Ларионовича Воронцова,https://www.prlib.ru/item/397183
1871,Литературные семейные вечера. Г. 8. 1871. № 9. Сентябрь,https://www.prlib.ru/item/1085986
1871,Семья и школа. [Г. 1]. 1871. № 6. Август,https://www.prlib.ru/item/443984
1871,"Иркутские губернские ведомости. 1875, № 16",https://www.prlib.ru/item/413934
1871,Семья и школа. [Г. 1]. 1871. № 10. Декабрь,https://www.prlib.ru/item/1051598
1871,Письма Екатерины II к графу Стакельбергу,https://www.prlib.ru/item/436961
1871,"О земельных владениях всероссийских митрополитов, патриархов и Св. синода. (988-1738 гг.)",https://www.prlib.ru/item/429859
1871,"Отчет Сапожковской уездной земской управы о приходе и расходе сумм, назначенных на содержание ее .... [с 1-го января 1870 по 1 января 1871 года]",https://www.prlib.ru/item/435894
1871,Летопись по Ипатскому списку,https://www.prlib.ru/item/692554
1871,Сочинения. Т. 1,https://www.prlib.ru/item/451017
1871,"Вестник Европы. Г. 6 1871, т. 3, [май]",https://www.prlib.ru/item/323303
1871,"Политика, история и администрация",https://www.prlib.ru/item/437839
1871,"Иркутские губернские ведомости. 1875, № 10",https://www.prlib.ru/item/413925
1871,"Бумаги Флорентийского центрального архива, касающиеся до России. Ч. 2",https://www.prlib.ru/item/717253
